Año;Mes;M0;M1;M2;M3
2010;Enero;4.763,60;23.920,50;96.131,30;156.933,60
2010;Febrero;4.849,90;24.019,60;96.625,60;157.846,80
2010;Marzo;4.963,30;24.567,10;97.674,00;160.117,20
2010;Abril;5.024,30;24.675,20;97.946,50;160.990,80
2010;Mayo;5.115,10;25.774,80;99.069,60;162.300,40
2010;Junio;5.161,90;26.282,00;98.857,40;162.646,60
2010;Julio;5.122,20;25.814,40;97.502,10;159.691,30
2010;Agosto;5.033,80;25.802,80;97.508,80;159.697,60
2010;Septiembre;5.193,40;26.591,00;97.940,10;162.332,00
2010;Octubre;5.135,80;26.224,70;98.633,00;164.445,40
2010;Noviembre;5.148,90;26.036,00;99.585,60;167.041,50
2010;Diciembre;5.437,50;27.288,00;101.661,10;169.770,00
2011;Enero;5.399,10;27.857,00;102.825,40;172.822,70
2011;Febrero;5.425,40;27.142,00;102.244,40;173.892,00
2011;Marzo;5.310,50;26.813,60;102.536,60;173.704,90
2011;Abril;5.336,60;27.187,30;104.345,00;175.552,60
2011;Mayo;5.399,70;27.540,90;106.288,30;177.749,90
2011;Junio;5.455,10;27.706,50;108.013,90;180.359,70
2011;Julio;5.445,70;26.993,50;108.703,70;182.160,50
2011;Agosto;5.414,90;27.339,20;111.170,50;185.311,00
2011;Septiembre;5.584,10;27.660,40;113.222,10;189.036,50
2011;Octubre;5.571,00;27.702,80;114.687,60;192.584,00
2011;Noviembre;5.645,90;27.434,50;115.762,50;194.380,50
2011;Diciembre;5.916,50;29.216,60;118.659,50;196.619,00
2012;Enero;5.893,90;29.483,40;119.718,10;199.493,70
2012;Febrero;5.911,70;28.638,90;118.494,60;198.995,70
2012;Marzo;5.873,80;28.798,00;119.450,60;200.568,50
2012;Abril;5.937,50;29.439,00;122.126,60;203.774,20
2012;Mayo;6.040,20;30.184,90;125.197,30;206.985,70
2012;Junio;6.120,10;29.774,50;127.753,10;208.910,30
2012;Julio;6.175,30;29.632,90;128.958,70;209.297,50
2012;Agosto;6.151,20;28.708,90;128.028,70;208.338,20
2012;Septiembre;6.403,70;29.822,00;128.852,60;208.469,00
