"Anho","Mes","Expectativa"
2010,"Enero",-0.1
2010,"Febrero",0.1
2010,"Marzo",0.8
2010,"Abril",0.7
2010,"Mayo",0.4
2010,"Junio",0.3
2010,"Julio",0.5
2010,"Agosto",0.4
2010,"Septiembre",0.405
2010,"Octubre",0.2
2010,"Noviembre",0.14
2010,"Diciembre",0.03
2011,"Enero",0.12
2011,"Febrero",0.2
2011,"Marzo",0.7
2011,"Abril",0.4
2011,"Mayo",0.4
2011,"Junio",0.3
2011,"Julio",0.3
2011,"Agosto",0.2
2011,"Septiembre",0.4
2011,"Octubre",0.3
2011,"Noviembre",0.1
2011,"Diciembre",0.1
2012,"Enero",0.2
2012,"Febrero",0.1
2012,"Marzo",0.5
2012,"Abril",0.2
2012,"Mayo",0.36
2012,"Junio",0.2
2012,"Julio",0
2012,"Agosto",0.2
2012,"Septiembre",0.565
2012,"Octubre",0.3
2012,"Noviembre",0.05
2012,"Diciembre",0.12
2013,"Enero",0.1
2013,"Febrero",0.2
2013,"Marzo",0.4
2013,"Abril",0.1
2013,"Mayo",0.1
2013,"Junio",0.3
2013,"Julio",0.25
2013,"Agosto",0.3
2013,"Septiembre",0.525
2013,"Octubre",0.1
2013,"Noviembre",0.1
2013,"Diciembre",0.2
2014,"Enero",0.2
2014,"Febrero",0.2
2014,"Marzo",0.5
2014,"Abril",0.2
2014,"Mayo",0.3
2014,"Junio",0.2
2014,"Julio",0.2
2014,"Agosto",0.1
2014,"Septiembre",0.5
2014,"Octubre",0.3
2014,"Noviembre",0.1
2014,"Diciembre",-0.2
2015,"Enero",-0.2
2015,"Febrero",0.1
2015,"Marzo",0.7
2015,"Abril",0.3
2015,"Mayo",0.2
2015,"Junio",0.2
2015,"Julio",0.3
2015,"Agosto",0.3
2015,"Septiembre",0.7
2015,"Octubre",0.3
2015,"Noviembre",0.1
2015,"Diciembre",0.1
2016,"Enero",0.4
2016,"Febrero",0.2
2016,"Marzo",0.5
2016,"Abril",0.3
2016,"Mayo",0.2
2016,"Junio",0.3
2016,"Julio",0.2
2016,"Agosto",0.2
2016,"Septiembre",0.5
2016,"Octubre",0.3
2016,"Noviembre",0.1
2016,"Diciembre",0
2017,"Enero",0.2
2017,"Febrero",0.2
2017,"Marzo",0.4
2017,"Abril",0.2
2017,"mayo",0.2
2017,"Junio",0.1
2017,"Julio",0.1
2017,"Agosto",0.1
2017,"Septiembre",0.3
2017,"Octubre",0.2
2017,"Noviembre",0
2017,"Diciembre",0.1
2018,"Enero",0.1
2018,"Febrero",0.1
2018,"Marzo",0.3
2018,"Abril",0.2
2018,"Mayo",0.2
2018,"Junio",0.2
2018,"Julio",0.2
2018,"Agosto",0.2
2018,"Septiembre",0.4
2018,"Octubre",0.3
2018,"Noviembre",0.2
2018,"Diciembre",0
2019,"Enero",0.2
2019,"Febrero",0.1
2019,"Marzo",0.3
2019,"Abril",0.3
2019,"Mayo",0.3
2019,"Junio",0.2
2019,"Julio",0.2
2019,"Agosto",0.2
2019,"Septiembre",0.3
2019,"Octubre",0.5
2019,"Noviembre",0
2019,"Diciembre",0.2
2020,"Enero",0.3
2020,"Febrero",0.2
2020,"Marzo",0.4
2020,"Abril",0.2
2020,"Mayo",0
2020,"Junio",0
2020,"Julio",0
2020,"Agosto",0.1
2020,"Septiembre",0.2
2020,"Octubre",0.3
2020,"Noviembre",0.1
2020,"Diciembre",0.2
2021,"Enero",0.3
2021,"Febrero",0.3
2021,"Marzo",0.4
2021,"Abril",0.3
2021,"Mayo",0.3
2021,"Junio",0.3
2021,"Julio",0.3
2021,"Agosto",0.3
2021,"Septiembre",0.6
2021,"Octubre",0.7
2021,"Noviembre",0.5
2021,"Diciembre",0.5
2022,"Enero",0.6
2022,"Febrero",0.6
2022,"Marzo",0.8
2022,"Abril",0.8
2022,"Mayo",0.9
2022,"Junio",0.8
2022,"Julio",1
2022,"Agosto",1
2022,"Septiembre",1
2022,"Octubre",0.9
2022,"Noviembre",0.4
2022,"Diciembre",0.5
2023,"Enero",0.5
2023,"Febrero",0.4
2023,"Marzo",0.9
2023,"Abril",0.4
2023,"Mayo",0.4
2023,"Junio",0.2
2023,"Julio",0.2
2023,"Agosto",0.3
2023,"Septiembre",0.5
2023,"Octubre",0.5
2023,"Noviembre",0.2
2023,"Diciembre",0.1
2024,"Enero",0.2
2024,"Febrero",0.2
2024,"Marzo",0.4
2024,"Abril",0.3
2024,"Mayo",0.3
2024,"Junio",0.1
2024,"Julio",0.5
2024,"Agosto",0.2
2024,"Septiembre",0.4
2024,"Octubre",0.6
2024,"Noviembre",0.3
2024,"Diciembre",0.1
