"Anho","1. PIB a precios corrientes","2. PIB volumen a precios del año anterior encadenado","3. PIB volumen a precios del año anterior encadenado (desestacionalizado)"
2010-01-01,110777.866879136,145814.558961507,145779.728252562
2011-01-01,121509.298514008,154889.906608927,154710.031445818
2012-01-01,129973.394043234,164423.907015138,164659.32617632
2013-01-01,137309.192012458,169863.885538887,169668.562824196
2014-01-01,147951.290035925,172908.949585114,172613.925186267
2015-01-01,158622.902851968,176629.850757214,176305.903618539
2016-01-01,168764.687916644,179726.24048337,179136.247842232
2017-01-01,179314.910106054,182166.375335338,182078.147315778
2018-01-01,189434.867409965,189434.867409966,189407.56255039
2019-01-01,195531.722450804,190636.58070659,190435.732253458
2020-01-01,201257.745107285,178924.870426147,178248.223307296
2021-01-01,239418.123718345,199170.077247853,198815.625224879
2022-01-01,263065.442824379,203460.187889126,203137.582485483
2023-01-01,281857.486451583,204520.96415521,204412.824144197
2024-01-01,311630.878498625,209929.135629876,209376.251192885
