"Anho","1. Total","1.1. Hombres","1.2. Mujeres"
2010-01-01,17063927,8397402,8666525
2011-01-01,17254159,8491323,8762836
2012-01-01,17443491,8584706,8858785
2013-01-01,17611902,8667644,8944258
2014-01-01,17787617,8754428,9033189
2015-01-01,17971423,8845449,9125974
2016-01-01,18167147,8943482,9223665
2017-01-01,18419192,9074217,9344975
2018-01-01,18751405,9244484,9506921
2019-01-01,19107216,9424139,9683077
2020-01-01,19458310,9599101,9859209
2021-01-01,19678363,9708512,9969851
2022-01-01,19828563,9782978,10045585
2023-01-01,19960889,9848466,10112423
2024-01-01,20086377,9910500,10175877
