"AÑO","total_personas","hombres","mujeres","ESTUDIOS_Básico","ESTUDIOS_Medio","ESTUDIOS_Ninguno","ESTUDIOS_No Informa","ESTUDIOS_Pre-Básico","ESTUDIOS_Técnico","ESTUDIOS_Universitario","ACTIVIDAD_Dueña De Casa","ACTIVIDAD_Empleado","ACTIVIDAD_Empleado Doméstico","ACTIVIDAD_Empresario O Patrón","ACTIVIDAD_Estudiante","ACTIVIDAD_Jubilado O Pensionado","ACTIVIDAD_No Informa","ACTIVIDAD_Obrero O Jornalero","ACTIVIDAD_Otras Actividades","ACTIVIDAD_Religioso","ACTIVIDAD_Rentista","ACTIVIDAD_Sin Actividad","ACTIVIDAD_Trabajador Por Cuenta Propia","ACTIVIDAD_Tripulante","REGION_Antofagasta","REGION_Arica y Parinacota","REGION_Atacama","REGION_Aysén del General Carlos Ibáñez del Campo","REGION_Biobío","REGION_Coquimbo","REGION_La Araucanía","REGION_Libertador General Bernardo O'Higgins","REGION_Los Lagos","REGION_Los Ríos","REGION_Magallanes y de la Antártica Chilena","REGION_Maule","REGION_Metropolitana de Santiago","REGION_Tarapacá","REGION_Valparaíso","REGION_Ñuble","REGION_Sin Información","REGION_NA","PAIS_Alemania","PAIS_Argentina","PAIS_Australia","PAIS_Austria","PAIS_Bolivia","PAIS_Brasil","PAIS_Bulgaria","PAIS_Bélgica","PAIS_Canadá","PAIS_China","PAIS_Colombia","PAIS_Corea del Sur","PAIS_Costa Rica","PAIS_Cuba","PAIS_Dinamarca","PAIS_Ecuador","PAIS_Egipto","PAIS_El Salvador","PAIS_España","PAIS_Estados Unidos","PAIS_Filipinas","PAIS_Finlandia","PAIS_Francia","PAIS_Grecia","PAIS_Guatemala","PAIS_Haití","PAIS_Holanda","PAIS_Honduras","PAIS_Hungría","PAIS_India","PAIS_Indonesia","PAIS_Inglaterra","PAIS_Iraq","PAIS_Irlanda","PAIS_Irán","PAIS_Israel","PAIS_Italia","PAIS_Japón","PAIS_Jordania","PAIS_Líbano","PAIS_Marruecos","PAIS_México","PAIS_Nepal","PAIS_Nicaragua","PAIS_Noruega","PAIS_Nueva Zelanda","PAIS_Otro país","PAIS_Pakistán","PAIS_Palestina","PAIS_Panamá","PAIS_Paraguay","PAIS_Perú","PAIS_Polonia","PAIS_Portugal","PAIS_Reino Unido","PAIS_República Checa","PAIS_República Dominicana","PAIS_Rumanía","PAIS_Rusia","PAIS_Siria","PAIS_Sudáfrica","PAIS_Suecia","PAIS_Suiza","PAIS_Taiwán","PAIS_Turquía","PAIS_Ucrania","PAIS_Uruguay","PAIS_Venezuela","PAIS_Dominica"
2010,20674,9541,11133,2044,4103,392,9554,240,1297,3044,2204,7492,2336,566,2846,264,151,670,499,298,32,1990,1317,9,1704,814,254,55,323,383,185,270,234,92,134,203,13543,1548,842,90,0,0,218,1608,39,15,1509,451,1,34,66,697,1889,111,18,255,17,1080,3,27,336,377,12,12,214,2,34,63,52,8,6,79,12,77,95,7,5,6,97,83,2,8,6,258,6,22,21,48,109,43,10,17,165,9292,19,9,4,7,116,7,55,20,45,23,47,23,15,14,294,354,0
2011,24837,11595,13242,2771,6139,477,10518,299,1599,3034,2650,9693,2754,561,3880,229,188,790,584,320,33,1854,1288,13,3003,966,325,53,367,460,193,274,248,110,149,227,15222,2224,938,78,0,0,191,1568,37,17,3396,648,4,25,70,695,2185,74,28,351,4,985,4,36,333,417,10,10,250,4,18,307,46,15,2,72,6,92,1,10,4,11,131,75,8,5,5,237,5,22,14,25,102,39,3,30,358,10552,19,24,0,8,184,25,48,9,18,25,44,18,24,16,455,383,0
2012,28346,13099,15247,3574,7305,537,11241,344,1653,3692,3053,11872,2879,566,4388,271,176,787,628,302,29,2042,1337,16,3874,1095,472,61,462,495,228,317,254,66,156,276,16803,2625,1051,111,0,0,205,1706,59,10,4510,697,3,35,88,785,3187,114,45,280,7,1133,2,50,574,568,12,12,220,5,24,181,42,16,5,72,1,112,0,5,4,16,151,87,4,13,4,301,5,20,28,15,102,33,3,25,342,10918,25,30,0,3,339,11,62,6,23,21,49,20,15,28,375,502,1
2013,34069,15690,18379,4459,9796,587,11921,496,2025,4785,3243,15828,3205,766,4677,220,291,1000,804,359,47,2264,1350,15,5130,1207,725,102,525,638,210,386,306,98,214,312,20037,2971,1085,122,1,0,186,1913,62,15,6598,851,5,31,102,877,4527,155,40,289,10,1207,4,60,1110,524,17,9,308,6,29,441,46,33,7,102,16,87,0,14,1,12,116,115,6,7,11,374,5,30,16,11,125,32,4,34,416,11192,26,32,0,7,598,27,60,7,20,30,39,19,32,19,335,630,0
2014,48553,22377,26176,6213,14658,851,17646,697,2620,5868,4514,24715,4401,771,7119,258,432,1463,942,337,56,2041,1489,15,9347,1542,1419,83,614,866,289,489,362,126,320,417,26739,4276,1517,147,0,0,206,2355,63,23,12153,824,8,43,111,926,7677,109,53,393,17,1417,9,48,2114,593,33,8,370,15,50,1029,54,61,7,119,8,129,1,14,16,17,206,126,6,13,12,412,19,22,20,14,127,47,10,30,458,12869,33,67,0,8,1545,25,103,22,18,24,44,12,19,13,331,825,0
2015,50711,23431,27280,6184,15570,828,18017,781,2795,6536,4404,26777,3767,723,7971,257,535,1237,1195,328,69,1905,1520,23,10141,1547,1294,98,660,987,364,592,385,172,312,608,27718,4000,1684,149,0,0,221,2567,61,22,12566,823,10,41,68,930,9068,147,47,512,16,1505,6,53,2362,480,81,12,377,4,47,1220,50,36,10,112,7,85,2,13,5,12,256,117,8,3,12,447,13,15,25,18,113,35,2,38,472,11718,28,95,0,15,1321,33,105,24,22,17,58,34,30,25,330,1704,0
2016,79268,39004,40264,9105,27253,1222,26416,1017,4721,9534,5061,45532,6713,1037,10649,288,844,2255,1780,336,58,3065,1629,21,12672,1626,1623,161,908,1475,502,745,548,170,499,748,50809,4169,2347,266,0,0,243,2499,62,27,11561,1007,27,64,91,1373,18253,175,41,866,20,2322,5,109,1947,516,113,12,428,12,31,6224,33,68,9,158,11,94,0,14,21,21,235,105,9,10,9,431,12,26,24,14,165,50,21,36,450,21399,48,107,0,10,1503,19,145,40,23,25,41,22,34,32,280,5486,0
2017,111700,59011,52689,10203,38007,1518,40011,1103,5648,15210,5117,70110,8554,1178,12354,272,1417,4763,2495,400,57,3580,1364,39,11675,1606,1850,217,1177,1921,639,1489,700,236,599,1264,80128,4247,3590,362,0,0,224,2436,53,18,10410,1232,37,62,90,1854,22539,142,72,854,10,3387,29,123,1516,495,174,11,485,10,46,18138,57,79,4,232,7,113,1,18,14,24,308,134,10,14,14,531,57,30,21,16,164,83,20,44,485,25765,38,111,0,19,1561,25,120,66,33,14,42,29,32,33,305,16580,0
2018,126292,69053,57239,11733,42975,1640,41693,1298,6860,20093,5287,82692,7326,966,13671,289,1807,5836,2873,293,37,4124,1054,37,10085,1636,1975,319,1904,2411,955,3321,1445,368,918,4014,85109,3743,7317,772,0,0,153,2014,43,15,9323,1136,4,44,49,1600,18878,92,40,753,12,3637,14,103,804,446,103,7,363,10,31,25218,38,51,7,188,11,80,0,9,14,10,284,94,5,4,11,418,94,44,9,12,136,90,7,30,402,17930,24,113,0,7,1030,30,94,48,19,17,22,9,33,26,223,39726,1
2019,149888,83909,65979,17014,55455,1590,40951,2083,8457,24338,5213,97402,6502,839,16115,231,10027,7158,1760,254,34,3161,1182,10,7209,1646,1900,547,3766,3084,1468,5453,2937,819,1034,5678,98563,3869,10656,1252,0,7,138,1352,23,19,8119,961,4,27,46,1354,13723,71,43,771,4,2989,7,94,548,276,62,7,252,8,30,41526,14,49,5,144,4,49,0,8,7,6,195,80,2,5,6,367,31,23,10,10,120,74,10,34,269,13614,28,106,14,2,872,7,51,18,20,4,28,17,33,28,216,60851,3
2020,57704,29930,27774,5455,20098,705,73,1221,7410,22742,18,142,6,1,69,2,57431,6,2,1,0,20,6,0,3490,620,624,65,2203,1367,575,1856,1437,366,371,2133,36227,1953,3996,401,0,20,27,286,9,2,1937,216,0,4,5,367,5680,8,15,671,0,602,2,19,138,68,16,4,75,1,3,3062,0,10,0,23,0,0,0,1,4,0,55,8,0,1,4,70,1,19,0,1,39,19,0,8,62,5121,6,30,17,1,663,3,13,8,2,2,6,7,5,4,75,38158,41
2021,51976,25158,26818,5479,14785,646,13,1228,6316,23509,20,266,9,5,30,2,51584,11,7,2,0,18,22,0,2107,549,524,82,1821,1390,555,1870,1226,281,325,1874,34193,1602,3124,451,0,2,39,441,14,5,1995,218,2,3,5,127,3892,23,16,655,3,598,3,12,152,77,20,2,45,3,15,3096,0,19,1,45,1,0,0,1,4,4,58,15,1,1,2,77,0,18,0,4,40,33,1,6,50,1876,7,24,21,1,871,1,26,8,3,2,7,3,4,5,82,37174,19
