"Anho","Mes","1. Nacional"
2010,"Marzo",9.2275980636192
2010,"Abril",8.836054099283
2010,"Mayo",9.0877307261896
2010,"Junio",8.6560640009262
2010,"Julio",8.5111787141127
2010,"Agosto",8.4362750412026
2010,"Septiembre",8.1245686923359
2010,"Octubre",7.8146967084653
2010,"Noviembre",7.2250504372039
2010,"Diciembre",7.2101288890971
2011,"Enero",7.4417617188178
2011,"Febrero",7.4427693646653
2011,"Marzo",7.5481165580962
2011,"Abril",7.2111118602051
2011,"Mayo",7.3047634518804
2011,"Junio",7.2122553970482
2011,"Julio",7.5533693014775
2011,"Agosto",7.5146494707645
2011,"Septiembre",7.6263811757401
2011,"Octubre",7.4366909896981
2011,"Noviembre",7.3319133368942
2011,"Diciembre",6.8146096671283
2012,"Enero",6.853915676547
2012,"Febrero",6.5283728037424
2012,"Marzo",6.7973028961148
2012,"Abril",6.7636742906146
2012,"Mayo",6.9418393842258
2012,"Junio",6.7812921942007
2012,"Julio",6.6649669414834
2012,"Agosto",6.5384289832067
2012,"Septiembre",6.5762953945396
2012,"Octubre",6.6949333295345
2012,"Noviembre",6.3597240604042
2012,"Diciembre",6.2246556879872
2013,"Enero",6.119549592693
2013,"Febrero",6.354761938598
2013,"Marzo",6.4261089083845
2013,"Abril",6.5390100414664
2013,"Mayo",6.5412356813197
2013,"Junio",6.2605406935358
2013,"Julio",5.8831519808406
2013,"Agosto",5.8489625959424
2013,"Septiembre",5.8604966913638
2013,"Octubre",5.9526644251095
2013,"Noviembre",5.8648368756726
2013,"Diciembre",5.7817319689281
2014,"Enero",6.2314665991056
2014,"Febrero",6.1846947292971
2014,"Marzo",6.4964041476347
2014,"Abril",6.1441471565352
2014,"Mayo",6.324242958052
2014,"Junio",6.5178319122478
2014,"Julio",6.5941218073472
2014,"Agosto",6.8264777631324
2014,"Septiembre",6.7605499259606
2014,"Octubre",6.5636702551218
2014,"Noviembre",6.2148680033327
2014,"Diciembre",6.2055968190967
2015,"Enero",6.2266912629249
2015,"Febrero",6.2152623703
2015,"Marzo",6.2288644027975
2015,"Abril",6.3558414864696
2015,"Mayo",6.7515088944151
2015,"Junio",6.6702240657655
2015,"Julio",6.6916061135188
2015,"Agosto",6.5585027061965
2015,"Septiembre",6.5439997153519
2015,"Octubre",6.4452389584113
2015,"Noviembre",6.1748227596574
2015,"Diciembre",5.8704192154739
2016,"Enero",5.9174359863914
2016,"Febrero",6.0461631026577
2016,"Marzo",6.49049906407
2016,"Abril",6.6052157884769
2016,"Mayo",7.027192121286
2016,"Junio",7.0180202335965
2016,"Julio",7.2671162502907
