"Anho","Mes","1. Tasa de política monetaria (TPM) (porcentaje)","2. Tasa de interés de la facilidad permanente de liquidez en moneda nacional","3. Tasa de interés de la facilidad permanente de depósito  en moneda nacional"
2010,"Enero",0.5,0.75,0.25
2010,"Febrero",0.5,0.75,0.25
2010,"Marzo",0.5,0.75,0.25
2010,"Abril",0.5,0.75,0.25
2010,"Mayo",0.5,0.75,0.25
2010,"Junio",0.738095238095238,0.988095238095238,0.488095238095238
2010,"Julio",1.23809523809524,1.48809523809524,0.988095238095238
2010,"Agosto",1.79545454545455,2.04545454545455,1.54545454545455
2010,"Septiembre",2.2,2.45,1.95
2010,"Octubre",2.6375,2.8875,2.3875
2010,"Noviembre",2.86904761904762,3.11904761904762,2.61904761904762
2010,"Diciembre",3.11904761904762,3.36904761904762,2.86904761904762
2011,"Enero",3.25,3.5,3
2011,"Febrero",3.3375,3.5875,3.0875
2011,"Marzo",3.71739130434783,3.96739130434783,3.46739130434783
2011,"Abril",4.3,4.56578947368421,4.06578947368421
2011,"Mayo",4.79545454545455,5.04545454545455,4.54545454545455
2011,"Junio",5.13095238095238,5.38095238095238,4.88095238095238
2011,"Julio",5.25,5.5,5
2011,"Agosto",5.25,5.5,5
2011,"Septiembre",5.25,5.5,5
2011,"Octubre",5.25,5.5,5
2011,"Noviembre",5.25,5.5,5
2011,"Diciembre",5.25,5.5,5
2012,"Enero",5.10227272727273,5.35227272727273,4.85227272727273
2012,"Febrero",5,5.25,4.75
2012,"Marzo",5,5.25,4.75
2012,"Abril",5,5.25,4.75
2012,"Mayo",5,5.25,4.75
2012,"Junio",5,5.25,4.75
2012,"Julio",5,5.25,4.75
2012,"Agosto",5,5.25,4.75
2012,"Septiembre",5,5.25,4.75
2012,"Octubre",5,5.25,4.75
2012,"Noviembre",5,5.25,4.75
2012,"Diciembre",5,5.25,4.75
2013,"Enero",5,5.25,4.75
2013,"Febrero",5,5.25,4.75
2013,"Marzo",5,5.25,4.75
2013,"Abril",5,5.25,4.75
2013,"Mayo",5,5.25,4.75
2013,"Junio",5,5.25,4.75
2013,"Julio",5,5.25,4.75
2013,"Agosto",5,5.25,4.75
2013,"Septiembre",5,5.25,4.75
2013,"Octubre",4.89772727272727,5.14772727272727,4.64772727272727
2013,"Noviembre",4.65,4.9,4.4
2013,"Diciembre",4.5,4.75,4.25
2014,"Enero",4.5,4.75,4.25
2014,"Febrero",4.4,4.65,4.15
2014,"Marzo",4.10714285714286,4.35714285714286,3.85714285714286
2014,"Abril",4,4.25,3.75
2014,"Mayo",4,4.25,3.75
2014,"Junio",4,4.25,3.75
2014,"Julio",3.875,4.125,3.625
2014,"Agosto",3.625,3.875,3.375
2014,"Septiembre",3.3625,3.6125,3.1125
2014,"Octubre",3.13636363636364,3.38636363636364,2.88636363636364
2014,"Noviembre",3,3.25,2.75
2014,"Diciembre",3,3.25,2.75
2015,"Enero",3,3.25,2.75
2015,"Febrero",3,3.25,2.75
2015,"Marzo",3,3.25,2.75
2015,"Abril",3,3.25,2.75
2015,"Mayo",3,3.25,2.75
2015,"Junio",3,3.25,2.75
2015,"Julio",3,3.25,2.75
2015,"Agosto",3,3.25,2.75
2015,"Septiembre",3,3.25,2.75
2015,"Octubre",3.13095238095238,3.38095238095238,2.88095238095238
2015,"Noviembre",3.25,3.5,3
2015,"Diciembre",3.35,3.6,3.1
2016,"Enero",3.5,3.75,3.25
2016,"Febrero",3.5,3.75,3.25
2016,"Marzo",3.5,3.75,3.25
2016,"Abril",3.5,3.75,3.25
2016,"Mayo",3.5,3.75,3.25
2016,"Junio",3.5,3.75,3.25
2016,"Julio",3.5,3.75,3.25
2016,"Agosto",3.5,3.75,3.25
2016,"Septiembre",3.5,3.75,3.25
2016,"Octubre",3.5,3.75,3.25
2016,"Noviembre",3.5,3.75,3.25
2016,"Diciembre",3.5,3.75,3.25
2017,"Enero",3.4047619047619,3.6547619047619,3.1547619047619
2017,"Febrero",3.25,3.5,3
2017,"Marzo",3.1304347826087,3.3804347826087,2.8804347826087
2017,"Abril",2.875,3.125,2.625
2017,"mayo",2.64772727272727,2.89772727272727,2.39772727272727
2017,"Junio",2.5,2.75,2.25
2017,"Julio",2.5,2.75,2.25
2017,"Agosto",2.5,2.75,2.25
2017,"Septiembre",2.5,2.75,2.25
2017,"Octubre",2.5,2.75,2.25
2017,"Noviembre",2.5,2.75,2.25
2017,"Diciembre",2.5,2.75,2.25
2018,"Enero",2.5,2.75,2.25
2018,"Febrero",2.5,2.75,2.25
2018,"Marzo",2.5,2.75,2.25
2018,"Abril",2.5,2.75,2.25
2018,"Mayo",2.5,2.75,2.25
2018,"Junio",2.5,2.75,2.25
2018,"Julio",2.5,2.75,2.25
2018,"Agosto",2.5,2.75,2.25
2018,"Septiembre",2.5,2.75,2.25
2018,"Octubre",2.60227272727273,2.85227272727273,2.35227272727273
2018,"Noviembre",2.75,3,2.5
2018,"Diciembre",2.75,3,2.5
2019,"Enero",2.76136363636364,3.01136363636364,2.51136363636364
2019,"Febrero",3,3.25,2.75
2019,"Marzo",3,3.25,2.75
2019,"Abril",3,3.25,2.75
2019,"Mayo",3,3.25,2.75
2019,"Junio",2.625,2.875,2.375
2019,"Julio",2.5,2.75,2.25
2019,"Agosto",2.5,2.75,2.25
2019,"Septiembre",2.05555555555556,2.30555555555556,1.80555555555556
2019,"Octubre",1.94318181818182,2.19318181818182,1.69318181818182
2019,"Noviembre",1.75,2,1.5
2019,"Diciembre",1.75,2,1.5
2020,"Enero",1.75,2,1.5
2020,"Febrero",1.75,2,1.5
2020,"Marzo",1.375,1.625,1.125
2020,"Abril",0.5,0.75,0.25
2020,"Mayo",0.5,0.75,0.25
2020,"Junio",0.5,0.75,0.25
2020,"Julio",0.5,0.75,0.25
2020,"Agosto",0.5,0.75,0.25
2020,"Septiembre",0.5,0.75,0.25
2020,"Octubre",0.5,0.75,0.25
2020,"Noviembre",0.5,0.75,0.25
2020,"Diciembre",0.5,0.75,0.25
2021,"Enero",0.5,0.75,0.25
2021,"Febrero",0.5,0.75,0.25
2021,"Marzo",0.5,0.75,0.25
2021,"Abril",0.5,0.75,0.25
2021,"Mayo",0.5,0.75,0.25
2021,"Junio",0.5,0.75,0.25
2021,"Julio",0.630952380952381,0.880952380952381,0.380952380952381
2021,"Agosto",0.75,1,0.5
2021,"Septiembre",1.5,1.75,1.25
2021,"Octubre",2.25,2.5,2
2021,"Noviembre",2.75,3,2.5
2021,"Diciembre",3.46428571428571,3.71428571428571,3.21428571428571
2022,"Enero",4.21428571428571,4.45454545454545,3.95454545454545
2022,"Febrero",5.5,5.75,5.25
2022,"Marzo",5.6304347826087,5.8804347826087,5.3804347826087
2022,"Abril",7,7.25,6.75
2022,"Mayo",8.02272727272727,8.27272727272727,7.77272727272727
2022,"Junio",8.8125,9.0625,8.5625
2022,"Julio",9.42857142857143,9.67857142857143,9.17857142857143
2022,"Agosto",9.75,10,9.5
2022,"Septiembre",10.55,10.8,10.3
2022,"Octubre",11.0657894736842,11.3157894736842,10.8157894736842
2022,"Noviembre",11.25,11.5,11
2022,"Diciembre",11.25,11.5,11
2023,"Enero",11.25,11.5,11
2023,"Febrero",11.25,11.5,11
2023,"Marzo",11.25,11.5,11
2023,"Abril",11.25,11.5,11
2023,"Mayo",11.25,11.5,11
2023,"Junio",11.25,11.5,11
2023,"Julio",11.202380952381,11.452380952381,10.952380952381
2023,"Agosto",10.25,10.5,10
2023,"Septiembre",9.61842105263158,9.86842105263158,9.36842105263158
2023,"Octubre",9.45,9.7,9.2
2023,"Noviembre",9,9.25,8.75
2023,"Diciembre",8.72368421052632,8.97368421052632,8.47368421052632
2024,"Enero",8.25,8.5,8
2024,"Febrero",7.25,7.5,7
2024,"Marzo",7.25,7.5,7
2024,"Abril",6.56818181818182,6.81818181818182,6.31818181818182
2024,"Mayo",6.35714285714286,6.60714285714286,6.10714285714286
2024,"Junio",5.90789473684211,6.15789473684211,5.65789473684211
2024,"Julio",5.75,6,5.5
2024,"Agosto",5.75,6,5.5
2024,"Septiembre",5.52777777777778,5.77777777777778,5.27777777777778
2024,"Octubre",5.39772727272727,5.64772727272727,5.14772727272727
2024,"Noviembre",5.25,5.5,5
2024,"Diciembre",5.15,5.4,4.9
